X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.3107663894169,44.999685660456,0019XX RUSSELL AVE N,MP202185307         ,4     ,2021/04/24 00:00:00+00,1254,2021/04/24 00:00:00+00,2021/04/24 12:54:00+00,1254,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/05/01 00:00:00+00,14592,-93.31077401,44.99969153,-10387307,5621472,Willard - Hay,2021/05/01 00:00:00+00,2021/05/02 07:02:28+00,1
-93.2086908236824,44.965539396853,0001XX BEDFORD ST SE,MP202188261         ,2     ,2021/04/29 00:00:00+00,1416,2021/04/27 00:00:00+00,2021/04/29 14:16:00+00,2000,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2021/05/01 00:00:00+00,18618,-93.20869933,44.9655447,-10375944,5616098,Prospect Park - East River Road,2021/05/01 00:00:00+00,2021/05/02 07:02:28+00,2
-93.293168393001,44.950995328554,0028XX DUPONT AVE S,MP202188392         ,5     ,2021/04/29 00:00:00+00,732,2021/04/17 00:00:00+00,2021/04/29 07:32:00+00,1730,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2021/05/01 00:00:00+00,17936,-93.2931739,44.95099606,-10385348,5613810,Lowry Hill East,2021/05/05 00:00:00+00,2021/05/06 07:00:55+00,3
-93.2874820572526,44.9466021425596,0006XX 31ST ST W,MP202189317         ,5     ,2021/04/30 00:00:00+00,756,2021/04/28 00:00:00+00,2021/04/30 07:56:00+00,1800,THEFT   ,OTHER THEFT                   ,07 ,2021/05/01 00:00:00+00,11380,-93.28748225,44.94660622,-10384715,5613119,Lyndale,2021/05/02 00:00:00+00,2021/05/03 07:01:08+00,4
-93.2179075384975,44.9720474360512,0027XX UNIVERSITY AVE SE,MP202189695         ,2     ,2021/04/30 00:00:00+00,915,2021/04/30 00:00:00+00,2021/04/30 09:15:00+00,729,ROBPER  ,ROBBERY OF PERSON             ,04 ,2021/05/01 00:00:00+00,13301,-93.21790755,44.97204929,-10376970,5617122,Prospect Park - East River Road,2021/05/03 00:00:00+00,2021/05/04 07:01:56+00,5
-93.2808165578444,44.9720919220592,0013XX YALE PL ,MP202189769         ,1     ,2021/04/30 00:00:00+00,1108,2021/04/25 00:00:00+00,2021/04/30 11:08:00+00,100,BURGD   ,BURGLARY OF DWELLING          ,06 ,2021/05/01 00:00:00+00,16715,-93.2808233,44.97209526,-10383973,5617129,Loring Park,2021/05/01 00:00:00+00,2021/05/02 07:02:28+00,6
-93.3008040729161,44.9495712356292,0028XX HUMBOLDT AVE S,MP202189787         ,5     ,2021/04/30 00:00:00+00,1048,2021/04/27 00:00:00+00,2021/04/30 10:48:00+00,549,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2021/05/01 00:00:00+00,17659,-93.30081056,44.9495726,-10386198,5613586,East Isles,2021/05/01 00:00:00+00,2021/05/02 07:02:28+00,7
-93.2343017924327,44.9811981168413,0014XX 5TH ST SE,MP202189790         ,2     ,2021/04/30 00:00:00+00,1030,2021/04/29 00:00:00+00,2021/04/30 10:30:00+00,2300,BURGD   ,BURGLARY OF DWELLING          ,06 ,2021/05/01 00:00:00+00,16639,-93.23430434,44.98119983,-10378795,5618562,Marcy Holmes,2021/05/01 00:00:00+00,2021/05/02 07:02:28+00,8
-93.305502261852,45.0026837652539,0020XX BROADWAY AVE W,MP202189810         ,4     ,2021/04/30 00:00:00+00,1355,2021/04/26 00:00:00+00,2021/04/30 13:55:00+00,1900,THEFT   ,OTHER THEFT                   ,07 ,2021/05/01 00:00:00+00,20759,-93.30550994,45.00268872,-10386721,5621944,Jordan,2021/05/01 00:00:00+00,2021/05/02 07:02:28+00,9
-93.3097063773817,44.9821131046061,0004XX QUEEN AVE N,MP202189838         ,4     ,2021/04/30 00:00:00+00,1241,2021/02/14 00:00:00+00,2021/04/30 12:41:00+00,1241,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/05/01 00:00:00+00,16305,-93.30970878,44.98211752,-10387189,5618706,Harrison,2021/05/01 00:00:00+00,2021/05/02 07:02:28+00,10
